really_counted,pavel-fischer,jaroslav-basta,josef-stredula,petr-pavel,tomas-zima,danuse-nerudova,andrej-babis,karel-divis,marek-hilser,coeff
0,0.815,1.14,1,0.85,1,0.85,1.14,1,0.85,0.5
5,0.815,1.14,1,0.85,1,0.85,1.14,1,0.85,0.12
10,0.83,1.13,1,0.85,1,0.85,1.13,1,0.85,0.105
15,0.86,1.125,1,0.855,1,0.855,1.125,1,0.855,0.0675
20,0.86,1.12,1,0.86,1,0.86,1.12,1,0.86,0.06
25,0.87,1.115,1,0.86,1,0.86,1.115,1,0.86,0.0525
30,0.875,1.11,1,0.865,1,0.865,1.11,1,0.865,0.042
35,0.89,1.105,1,0.87,1,0.87,1.105,1,0.87,0.0375
40,0.9,1.1,1,0.875,1,0.875,1.1,1,0.875,0.033
45,0.91,1.1,1,0.8,1,0.8,1.1,1,0.8,0.03
50,0.915,1.095,1,0.885,1,0.885,1.095,1,0.885,0.0225
55,0.92,1.09,1,0.89,1,0.89,1.09,1,0.89,0.0195
60,0.925,1.085,1,0.9,1,0.9,1.085,1,0.9,0.0165
65,0.935,1.075,1,0.905,1,0.905,1.075,1,0.905,0.015
70,0.94,1.07,1,0.915,1,0.915,1.07,1,0.915,0.01425
75,0.95,1.065,1,0.92,1,0.92,1.065,1,0.92,0.0135
80,0.955,1.055,1,0.93,1,0.93,1.055,1,0.93,0.012
85,0.96,1.045,1,0.94,1,0.94,1.045,1,0.94,0.0105
90,0.97,1.035,1,0.95,1,0.95,1.035,1,0.95,0.0075
95,0.98,1.02,1,0.97,1,0.97,1.02,1,0.97,0.0075
100,1,1,1,1,1,1,1,1,1,0.0045
